"id";"tipo_local"
"cpf_1";"rural"
"cpf_2";"urbano"
"cpf_3";"urbano"
"cpf_4";"urbano"
"cpf_5";"rural"
"cpf_6";"rural"
"cpf_7";"urbano"
"cpf_8";"urbano"
"cpf_9";"urbano"
"cpf_10";"urbano"
"cpf_11";"urbano"
"cpf_12";"urbano"
"cpf_13";"urbano"
"cpf_14";"urbano"
"cpf_15";"rural"
"cpf_16";"urbano"
"cpf_17";"urbano"
"cpf_18";"urbano"
"cpf_19";"urbano"
"cpf_20";"urbano"
"cpf_21";"urbano"
"cpf_22";"urbano"
"cpf_23";"urbano"
"cpf_24";"urbano"
"cpf_25";"urbano"
"cpf_26";"urbano"
"cpf_27";"urbano"
"cpf_28";"rural"
"cpf_29";"urbano"
"cpf_30";"urbano"
"cpf_31";"urbano"
"cpf_32";"urbano"
"cpf_33";"urbano"
"cpf_34";"urbano"
"cpf_35";"urbano"
"cpf_36";"urbano"
"cpf_37";"rural"
"cpf_38";"urbano"
"cpf_39";"urbano"
"cpf_40";"urbano"
"cpf_41";"urbano"
"cpf_42";"urbano"
"cpf_43";"urbano"
"cpf_44";"urbano"
"cpf_45";"rural"
"cpf_46";"urbano"
"cpf_47";"urbano"
"cpf_48";"urbano"
"cpf_49";"urbano"
"cpf_50";"urbano"
"cpf_51";"urbano"
"cpf_52";"urbano"
"cpf_53";"urbano"
"cpf_54";"urbano"
"cpf_55";"rural"
"cpf_56";"urbano"
"cpf_57";"urbano"
"cpf_58";"urbano"
"cpf_59";"urbano"
"cpf_60";"urbano"
"cpf_61";"rural"
"cpf_62";"urbano"
"cpf_63";"urbano"
"cpf_64";"urbano"
"cpf_65";"urbano"
"cpf_66";"urbano"
"cpf_67";"urbano"
"cpf_68";"urbano"
"cpf_69";"urbano"
"cpf_70";"urbano"
"cpf_71";"rural"
"cpf_72";"urbano"
"cpf_73";"urbano"
"cpf_74";"urbano"
"cpf_75";"urbano"
"cpf_76";"urbano"
"cpf_77";"urbano"
"cpf_78";"urbano"
"cpf_79";"rural"
"cpf_80";"urbano"
"cpf_81";"urbano"
"cpf_82";"urbano"
"cpf_83";"urbano"
"cpf_84";"urbano"
"cpf_85";"urbano"
"cpf_86";"rural"
"cpf_87";"urbano"
"cpf_88";"urbano"
"cpf_89";"urbano"
"cpf_90";"urbano"
"cpf_91";"rural"
"cpf_92";"urbano"
"cpf_93";"rural"
"cpf_94";"urbano"
"cpf_95";"urbano"
"cpf_96";"urbano"
"cpf_97";"urbano"
"cpf_98";"urbano"
"cpf_99";"urbano"
"cpf_100";"urbano"
"cpf_101";"urbano"
"cpf_102";"urbano"
"cpf_103";"urbano"
"cpf_104";"urbano"
"cpf_105";"urbano"
"cpf_106";"urbano"
"cpf_107";"urbano"
"cpf_108";"urbano"
"cpf_109";"rural"
"cpf_110";"urbano"
"cpf_111";"urbano"
"cpf_112";"urbano"
"cpf_113";"rural"
"cpf_114";"rural"
"cpf_115";"urbano"
"cpf_116";"urbano"
"cpf_117";"urbano"
"cpf_118";"urbano"
"cpf_119";"rural"
"cpf_120";"urbano"
"cpf_121";"urbano"
"cpf_122";"urbano"
"cpf_123";"rural"
"cpf_124";"urbano"
"cpf_125";"urbano"
"cpf_126";"urbano"
"cpf_127";"urbano"
"cpf_128";"urbano"
"cpf_129";"urbano"
"cpf_130";"urbano"
"cpf_131";"urbano"
"cpf_132";"urbano"
"cpf_133";"urbano"
"cpf_134";"urbano"
"cpf_135";"urbano"
"cpf_136";"urbano"
"cpf_137";"rural"
"cpf_138";"urbano"
"cpf_139";"urbano"
"cpf_140";"urbano"
"cpf_141";"urbano"
"cpf_142";"urbano"
"cpf_143";"urbano"
"cpf_144";"rural"
"cpf_145";"urbano"
"cpf_146";"urbano"
"cpf_147";"urbano"
"cpf_148";"urbano"
"cpf_149";"urbano"
"cpf_150";"rural"
"cpf_151";"urbano"
"cpf_152";"urbano"
