"id" "tipo_local" "cor"
"cpf_1" "rural" "parda"
"cpf_2" "urbano" "parda"
"cpf_3" "urbano" "branca"
"cpf_4" "urbano" "parda"
"cpf_5" "rural" "branca"
"cpf_6" "urbano" "branca"
"cpf_7" "urbano" "parda"
"cpf_8" "urbano" "parda"
"cpf_9" "urbano" "parda"
"cpf_10" "urbano" "branca"
"cpf_11" "urbano" "parda"
"cpf_12" "urbano" "preta"
"cpf_13" "urbano" "parda"
"cpf_14" "urbano" "preta"
"cpf_15" "urbano" "parda"
"cpf_16" "urbano" "branca"
"cpf_17" "urbano" "branca"
"cpf_18" "urbano" "branca"
"cpf_19" "urbano" "branca"
"cpf_20" "urbano" "parda"
"cpf_21" "urbano" "branca"
"cpf_22" "urbano" "preta"
"cpf_23" "urbano" "branca"
"cpf_24" "urbano" "branca"
"cpf_25" "rural" "parda"
"cpf_26" "urbano" "parda"
"cpf_27" "urbano" "parda"
"cpf_28" "urbano" "parda"
"cpf_29" "urbano" "branca"
"cpf_30" "urbano" "parda"
"cpf_31" "urbano" "parda"
"cpf_32" "urbano" "branca"
"cpf_33" "urbano" "branca"
"cpf_34" "urbano" "parda"
"cpf_35" "urbano" "branca"
"cpf_36" "urbano" "parda"
"cpf_37" "urbano" "branca"
"cpf_38" "urbano" "branca"
"cpf_39" "rural" "parda"
"cpf_40" "urbano" "branca"
"cpf_41" "urbano" "preta"
"cpf_42" "urbano" "branca"
"cpf_43" "urbano" "branca"
"cpf_44" "urbano" "branca"
"cpf_45" "urbano" "parda"
"cpf_46" "rural" "parda"
"cpf_47" "urbano" "parda"
"cpf_48" "urbano" "branca"
"cpf_49" "urbano" "branca"
"cpf_50" "urbano" "branca"
"cpf_51" "rural" "branca"
"cpf_52" "rural" "parda"
"cpf_53" "urbano" "parda"
"cpf_54" "rural" "parda"
"cpf_55" "rural" "parda"
"cpf_56" "urbano" "branca"
"cpf_57" "urbano" "parda"
"cpf_58" "urbano" "parda"
"cpf_59" "urbano" "parda"
"cpf_60" "urbano" "preta"
"cpf_61" "urbano" "parda"
"cpf_62" "rural" "branca"
"cpf_63" "urbano" "branca"
"cpf_64" "urbano" "branca"
"cpf_65" "rural" "branca"
"cpf_66" "urbano" "branca"
"cpf_67" "urbano" "parda"
"cpf_68" "urbano" "branca"
"cpf_69" "urbano" "parda"
"cpf_70" "rural" "preta"
"cpf_71" "urbano" "parda"
"cpf_72" "urbano" "parda"
"cpf_73" "urbano" "branca"
"cpf_74" "urbano" "branca"
"cpf_75" "urbano" "parda"
"cpf_76" "urbano" "parda"
"cpf_77" "urbano" "branca"
"cpf_78" "rural" "parda"
"cpf_79" "rural" "branca"
"cpf_80" "urbano" "parda"
"cpf_81" "urbano" "parda"
"cpf_82" "urbano" "parda"
"cpf_83" "urbano" "parda"
"cpf_84" "rural" "branca"
"cpf_85" "urbano" "parda"
"cpf_86" "urbano" "branca"
"cpf_87" "urbano" "parda"
"cpf_88" "urbano" "branca"
"cpf_89" "urbano" "parda"
"cpf_90" "urbano" "branca"
"cpf_91" "urbano" "parda"
"cpf_92" "urbano" "branca"
"cpf_93" "urbano" "branca"
"cpf_94" "urbano" "branca"
"cpf_95" "rural" "branca"
"cpf_96" "urbano" "branca"
"cpf_97" "rural" "branca"
"cpf_98" "urbano" "branca"
"cpf_99" "urbano" "branca"
"cpf_100" "urbano" "branca"
"cpf_101" "rural" "branca"
"cpf_102" "urbano" "branca"
"cpf_103" "urbano" "parda"
"cpf_104" "urbano" "parda"
"cpf_105" "rural" "branca"
"cpf_106" "urbano" "parda"
"cpf_107" "urbano" "branca"
"cpf_108" "urbano" "branca"
"cpf_109" "urbano" "parda"
"cpf_110" "urbano" "parda"
"cpf_111" "urbano" "parda"
"cpf_112" "urbano" "preta"
"cpf_113" "rural" "parda"
"cpf_114" "urbano" "branca"
"cpf_115" "urbano" "preta"
"cpf_116" "urbano" "branca"
"cpf_117" "urbano" "branca"
"cpf_118" "urbano" "parda"
"cpf_119" "urbano" "parda"
"cpf_120" "urbano" "branca"
"cpf_121" "urbano" "branca"
"cpf_122" "urbano" "branca"
"cpf_123" "urbano" "parda"
"cpf_124" "urbano" "parda"
"cpf_125" "urbano" "parda"
"cpf_126" "rural" "preta"
"cpf_127" "urbano" "branca"
"cpf_128" "urbano" "preta"
"cpf_129" "urbano" "parda"
"cpf_130" "urbano" "parda"
"cpf_131" "rural" "parda"
"cpf_132" "urbano" "parda"
"cpf_133" "rural" "preta"
"cpf_134" "urbano" "parda"
"cpf_135" "rural" "branca"
"cpf_136" "urbano" "branca"
"cpf_137" "urbano" "preta"
"cpf_138" "rural" "preta"
"cpf_139" "urbano" "branca"
"cpf_140" "urbano" "branca"
"cpf_141" "rural" "branca"
"cpf_142" "urbano" "branca"
"cpf_143" "urbano" "parda"
"cpf_144" "urbano" "branca"
"cpf_145" "urbano" "branca"
"cpf_146" "urbano" "preta"
"cpf_147" "urbano" "preta"
"cpf_148" "rural" "preta"
"cpf_149" "urbano" "branca"
"cpf_150" "urbano" "branca"
"cpf_151" "urbano" "parda"
"cpf_152" "urbano" "preta"
"cpf_153" "rural" "preta"
"cpf_154" "urbano" "parda"
"cpf_155" "urbano" "parda"
"cpf_156" "urbano" "parda"
"cpf_157" "urbano" "parda"
"cpf_158" "rural" "preta"
"cpf_159" "urbano" "branca"
"cpf_160" "urbano" "parda"
"cpf_161" "urbano" "branca"
"cpf_162" "urbano" "parda"
"cpf_163" "urbano" "branca"
"cpf_164" "rural" "parda"
"cpf_165" "urbano" "parda"
"cpf_166" "rural" "parda"
"cpf_167" "urbano" "branca"
"cpf_168" "urbano" "branca"
"cpf_169" "rural" "parda"
"cpf_170" "rural" "branca"
"cpf_171" "urbano" "parda"
"cpf_172" "urbano" "parda"
"cpf_173" "urbano" "parda"
"cpf_174" "urbano" "parda"
"cpf_175" "urbano" "branca"
"cpf_176" "urbano" "branca"
"cpf_177" "urbano" "branca"
"cpf_178" "rural" "parda"
"cpf_179" "urbano" "branca"
"cpf_180" "urbano" "branca"
"cpf_181" "urbano" "parda"
"cpf_182" "urbano" "parda"
"cpf_183" "rural" "preta"
"cpf_184" "urbano" "branca"
"cpf_185" "urbano" "parda"
"cpf_186" "rural" "parda"
"cpf_187" "urbano" "parda"
"cpf_188" "rural" "parda"
"cpf_189" "urbano" "branca"
"cpf_190" "urbano" "parda"
"cpf_191" "urbano" "parda"
"cpf_192" "rural" "parda"
"cpf_193" "urbano" "branca"
"cpf_194" "urbano" "parda"
"cpf_195" "urbano" "parda"
"cpf_196" "urbano" "parda"
"cpf_197" "urbano" "branca"
"cpf_198" "urbano" "branca"
"cpf_199" "urbano" "parda"
"cpf_200" "urbano" "branca"
"cpf_201" "urbano" "parda"
"cpf_202" "urbano" "parda"
"cpf_203" "urbano" "parda"
"cpf_204" "urbano" "parda"
"cpf_205" "urbano" "branca"
"cpf_206" "rural" "parda"
"cpf_207" "urbano" "branca"
"cpf_208" "urbano" "branca"
"cpf_209" "rural" "parda"
"cpf_210" "urbano" "parda"
"cpf_211" "urbano" "branca"
"cpf_212" "urbano" "branca"
"cpf_213" "urbano" "branca"
"cpf_214" "urbano" "branca"
"cpf_215" "urbano" "parda"
"cpf_216" "urbano" "branca"
"cpf_217" "urbano" "branca"
"cpf_218" "urbano" "parda"
"cpf_219" "rural" "branca"
"cpf_220" "urbano" "parda"
"cpf_221" "urbano" "branca"
"cpf_222" "rural" "branca"
"cpf_223" "urbano" "parda"
"cpf_224" "urbano" "branca"
"cpf_225" "urbano" "parda"
"cpf_226" "urbano" "branca"
"cpf_227" "urbano" "branca"
"cpf_228" "urbano" "parda"
"cpf_229" "urbano" "parda"
"cpf_230" "urbano" "parda"
"cpf_231" "urbano" "branca"
"cpf_232" "rural" "branca"
"cpf_233" "urbano" "parda"
"cpf_234" "urbano" "parda"
"cpf_235" "urbano" "branca"
"cpf_236" "urbano" "branca"
"cpf_237" "urbano" "branca"
"cpf_238" "urbano" "parda"
"cpf_239" "urbano" "parda"
"cpf_240" "urbano" "branca"
"cpf_241" "urbano" "parda"
"cpf_242" "urbano" "branca"
"cpf_243" "urbano" "preta"
"cpf_244" "urbano" "branca"
"cpf_245" "rural" "branca"
"cpf_246" "urbano" "parda"
"cpf_247" "rural" "parda"
"cpf_248" "urbano" "branca"
"cpf_249" "urbano" "parda"
"cpf_250" "urbano" "branca"
"cpf_251" "urbano" "branca"
"cpf_252" "urbano" "parda"
"cpf_253" "urbano" "parda"
"cpf_254" "urbano" "parda"
"cpf_255" "urbano" "preta"
"cpf_256" "urbano" "parda"
"cpf_257" "urbano" "preta"
"cpf_258" "urbano" "branca"
"cpf_259" "urbano" "preta"
"cpf_260" "urbano" "parda"
"cpf_261" "urbano" "parda"
"cpf_262" "urbano" "branca"
"cpf_263" "urbano" "parda"
"cpf_264" "urbano" "branca"
"cpf_265" "urbano" "parda"
"cpf_266" "urbano" "branca"
"cpf_267" "rural" "parda"
"cpf_268" "urbano" "preta"
"cpf_269" "urbano" "branca"
"cpf_270" "rural" "branca"
"cpf_271" "urbano" "preta"
"cpf_272" "urbano" "parda"
"cpf_273" "urbano" "branca"
"cpf_274" "urbano" "parda"
"cpf_275" "urbano" "branca"
"cpf_276" "urbano" "parda"
"cpf_277" "urbano" "branca"
"cpf_278" "urbano" "parda"
"cpf_279" "urbano" "branca"
"cpf_280" "urbano" "branca"
"cpf_281" "rural" "branca"
"cpf_282" "urbano" "parda"
"cpf_283" "urbano" "branca"
"cpf_284" "urbano" "branca"
"cpf_285" "urbano" "branca"
"cpf_286" "urbano" "branca"
"cpf_287" "urbano" "parda"
"cpf_288" "urbano" "parda"
"cpf_289" "urbano" "parda"
"cpf_290" "rural" "parda"
"cpf_291" "urbano" "parda"
"cpf_292" "urbano" "branca"
"cpf_293" "urbano" "branca"
"cpf_294" "rural" "branca"
"cpf_295" "rural" "branca"
"cpf_296" "urbano" "branca"
"cpf_297" "rural" "parda"
"cpf_298" "urbano" "branca"
"cpf_299" "urbano" "parda"
"cpf_300" "urbano" "parda"
"cpf_301" "rural" "parda"
"cpf_302" "rural" "branca"
"cpf_303" "urbano" "branca"
"cpf_304" "urbano" "parda"
"cpf_305" "urbano" "preta"
"cpf_306" "urbano" "branca"
"cpf_307" "urbano" "parda"
"cpf_308" "urbano" "parda"
"cpf_309" "urbano" "branca"
"cpf_310" "urbano" "branca"
